ano,uf,tipo,qtde
2014,PARANA,MICROONIBUS,19814
2014,PARANA,MOTOCICLETA,1016786
2014,PARANA,MOTONETA,251486
2014,PARANA,ONIBUS,36772
2014,PARANA,UTILITARIO,35710
2014,PERNAMBUCO,AUTOMOVEL,1124352
2014,PERNAMBUCO,CAMINHAO,84819
2014,PERNAMBUCO,CAMINHAO TRATOR,10918
2014,PERNAMBUCO,CAMINHONETE,128136
2014,PERNAMBUCO,CAMIONETA,89518
2014,PERNAMBUCO,MICROONIBUS,16033
2014,PERNAMBUCO,MOTOCICLETA,862077
2014,PERNAMBUCO,MOTONETA,85508
2014,PERNAMBUCO,ONIBUS,18217
2014,PERNAMBUCO,UTILITARIO,12496
2014,PIAUI,AUTOMOVEL,261774
2014,PIAUI,CAMINHAO,23633
2014,PIAUI,CAMINHAO TRATOR,2122
2014,PIAUI,CAMINHONETE,51800
2014,PIAUI,CAMIONETA,28713
2014,PIAUI,MICROONIBUS,2670
2014,PIAUI,MOTOCICLETA,432092
2014,PIAUI,MOTONETA,75180
2014,PIAUI,ONIBUS,5690
2014,PIAUI,UTILITARIO,3705
2014,RIO DE JANEIRO,AUTOMOVEL,3932617
2014,RIO DE JANEIRO,CAMINHAO,134053
2014,RIO DE JANEIRO,CAMINHAO TRATOR,16199
2014,RIO DE JANEIRO,CAMINHONETE,237128
2014,RIO DE JANEIRO,CAMIONETA,295330
2014,RIO DE JANEIRO,MICROONIBUS,36740
2014,RIO DE JANEIRO,MOTOCICLETA,777905
2014,RIO DE JANEIRO,MOTONETA,137479
2014,RIO DE JANEIRO,ONIBUS,44648
2014,RIO DE JANEIRO,UTILITARIO,38440
2014,RIO GRANDE DO NORTE,AUTOMOVEL,443434
2014,RIO GRANDE DO NORTE,CAMINHAO,28096
2014,RIO GRANDE DO NORTE,CAMINHAO TRATOR,2736
2014,RIO GRANDE DO NORTE,CAMINHONETE,57733
2014,RIO GRANDE DO NORTE,CAMIONETA,32526
2014,RIO GRANDE DO NORTE,MICROONIBUS,4411
2014,RIO GRANDE DO NORTE,MOTOCICLETA,353642
2014,RIO GRANDE DO NORTE,MOTONETA,47985
2014,RIO GRANDE DO NORTE,ONIBUS,6033
2014,RIO GRANDE DO NORTE,UTILITARIO,9837
2014,RIO GRANDE DO SUL,AUTOMOVEL,3685777
2014,RIO GRANDE DO SUL,CAMINHAO,207098
2014,RIO GRANDE DO SUL,CAMINHAO TRATOR,55478
2014,RIO GRANDE DO SUL,CAMINHONETE,369622
2014,RIO GRANDE DO SUL,CAMIONETA,243841
2014,RIO GRANDE DO SUL,MICROONIBUS,18201
2014,RIO GRANDE DO SUL,MOTOCICLETA,964227
2014,RIO GRANDE DO SUL,MOTONETA,167914
2014,RIO GRANDE DO SUL,ONIBUS,37832
2014,RIO GRANDE DO SUL,UTILITARIO,32996
2014,RONDONIA,AUTOMOVEL,220891
2014,RONDONIA,CAMINHAO,27177
